,Empresa,Breve descrição / o que faz,Vertical sugerido,Driver sugerido,Justificativa,
,BrokerHunter,"BrokerHunter é uma empresa que oferece serviços e cursos para corretores de imóveis no Brasil, com o objetivo de aumentar a performance profissional e as vendas através de métodos, processos e tecnologias. A empresa atua em consultoria, mentoria, palestras e lançamentos de empreendimentos, treinando milhares de profissionais do setor imobiliário.",Economia Compartilhada,Gestão,Formação e performance de corretores,
,Instituto Ciinco,"O Instituto Ciinco é uma plataforma de consultoria e educação focada em desenvolver o setor de incorporação e construção civil, oferecendo cursos, materiais e serviços voltados para a gestão, estratégia, finanças, tributação e marketing neste mercado, com o objetivo de profissionalizar os negócios e promover o crescimento econômico.",Imóvel Inteligente,Gestão,Consultoria e educação em gestão e finanças,
,Corretor Global,"""Corretor Global"" refere-se a uma plataforma e a uma comunidade de corretores de imóveis no Brasil que buscam se profissionalizar e adotar uma visão estratégica e tecnológica para atuarem de forma mais competitiva no mercado imobiliário. Através de palestras, treinamentos e eventos, a iniciativa visa capacitar os corretores, ensinando-os a lidar com as mudanças do mercado, a usar novas tecnologias e a identificar e aproveitar as oportunidades de negócios, incentivando o empreendedorismo com uma atitude mais internacional ou ""global"" na sua atuação. ",Economia Compartilhada,Informação,Rede informacional e formativa de corretores,
,Play2sell ,"A Play2sell é uma startup de origem brasileira que desenvolveu uma plataforma de gamificação de treinamentos e incentivos para equipes de vendas. A empresa oferece soluções B2B que unem tecnologia, jogos e gestão financeira para engajar vendedores, personalizar o aprendizado e aumentar as taxas de conversão. A plataforma é dividida em aplicativos como o Play2sell GO para a capacitação, e o Play2sell PAY para a gestão e premiação em dinheiro, transformando o processo de treinamento em uma experiência mais divertida e eficaz. ",Imóvel Inteligente,Gestão,Gamificação e gestão de vendas,
,,,,,,
,havite,"""Havite"" (com 'a') é um aplicativo e sistema que oferece gestão e controle imobiliário para corretores e imobiliárias, centralizando a administração de imóveis, aluguéis e processos de venda em uma única plataforma. O termo ""Habite-se"" (com 'a' e 'e'), por outro lado, é um documento emitido pela prefeitura que atesta a conclusão e a regularidade de uma construção, permitindo o uso legal do imóvel.",Fintechs do Imobiliário,Gestão,Gestão e controle de processos imobiliários,
,Tecimob,"Tecimob é um sistema inteligente de gestão para imobiliárias e corretores, que inclui um site, um aplicativo para celular (Android e iOS) e um CRM imobiliário. A plataforma tem como objetivo otimizar a presença online, facilitar a gestão de imóveis e clientes, capturar leads e impulsionar as vendas, oferecendo ferramentas como um funil de vendas, um radar de clientes e a possibilidade de integração com o WhatsApp. ",Fintechs do Imobiliário,Transações,CRM e facilitação de vendas,
,ImobiBrasil,"ImobiBrasil é uma plataforma completa e uma empresa especializada em soluções de gestão para imobiliárias e corretores de imóveis, com mais de 15 anos de experiência. Ela oferece ferramentas como um CRM completo, integração com portais imobiliários, gestão de leads, e a criação e gestão de sites imobiliários, buscando otimizar as operações e a presença digital dos seus clientes. ",Fintechs do Imobiliário,Gestão,CRM e gestão comercial digital,
,imobiliária ajato,"A ""Imobiliária a Jato"" (ou Imobiliária aJato) é uma empresa que oferece serviços imobiliários, com foco em agilidade e tecnologia, atuando como uma imobiliária digital e rápida, que visa simplificar o processo de venda e locação de imóveis",Fintechs do Imobiliário,Transações,Imobiliária digital com foco em agilidade,
,Kurole,"Kurole refere-se a uma empresa (Kurole Web Design) e ao seu principal produto, o Kurole Sistema Imobiliário (KSI), um software de gestão e CRM (Customer Relationship Management) completo para o mercado imobiliário. A plataforma ajuda imobiliárias a automatizar e organizar processos como cadastro de imóveis, gestão de contratos, acompanhamento de clientes e transações, oferecendo um controle mais eficiente e digital do negócio. ",Imóvel Inteligente,Gestão,Software de CRM e automação de processos imobiliários — foco na organização e controle operacional.,
