x,sub1,empresa1,sub2,empresas2,sub3,empresa3,sub4,empresa4
,,,,,,,,
,Projeto e Viabilidade,,Construção,,Aquisição,,Propriedade em Uso,
,,,,,,,,
,BIM,,Conteúdo,,Conteúdo e educação,,Coliving,
,,GVB - virtualização de construções,,constru liga,,BrokerHunter ,,divid
,,iterCode - tecnologia para engenharia,,connecteng,,Instituto Ciinco,,oka
,,smartBIIM - tecnologia para gestão de obras,,engplay,,Corretor Global,,coliiv
,,,,CONSTRUÇÃO CIVIL - teoria e prática,,Play2sell ,,yolo coliving
,Crowfunding,,,BORA na OBRA,,,,home team
,,INCO,,,Site building,,,
,,CapRate Investimentos,Orçamento de obra,,,havite,Student living,
,,urbe.me,,SIENSU,,Tecimob,,Share Student Living
,,vanguardi,,cugconsultoria,,ImobiBrasil,,Parkside
,,ROCK,,custoEXPRESSO,,imobiliária ajato,,UNIPOINT – Student Housing
,,bloxs,,euconstruindo.com,,Kurole,,Uliving – Student Housing
,,Imobcoin,,Rubk,,SIMO,,4student
,,Investweb,,ecustos,,Crecido,,
,,,,hallco,,,Coworking,
,Inteligência de mercado,,,easy supply,Documentação e jurídico,,,woba
,,crawly,,TEC4WEB,,Beaver,,outoo
,,ALLIANCE CONSÓRCIOS,,WeObra,,Vivalisto,,dezker
,,giica,,OrçaFascio - software para engenharia,,Portdata,,Jobpass
,,PROSPECTA - relatório de obras,,CONSTRUP - Construindo soluções,,reserva.blue,,conexa
,,Obra.ai,,ALÔ SERRALHEIRO,,Cardeal,,gendo
,,HOFF ANALYTICS - big data solutions,,celere - consultoria de eficiência da construção,,RevoluTI,,Ybizza
,,Rede de Obras,,,,ITDOC,,Key Place - flexible spaces worldwide
,,DATALAND - land powered by data science,Gestão da obra,,,99contratos,,
,,isket,Diário de Obras,ubuild,,CoBenS,Senior living,
,,urbit,,dia de obra,,Inteligência Cartorial,,SeniorOnline
,,INTEC,,oppem,,,,Morar Sênior
,,propdo,,DIÀRIO DE OBRAS,Recomendação de imóveis ,,,gero360
,,,,rdo,,livvu,,portal casas de repouso – facilitando a vida
,Terrenos,,,,,date a home,,sssenior.com
,,comproterreno,Inspeção e Monitoramento,co.urban,,LIVAR,,Benvo
,,BUSCA TERRA,,QualiTab,,ImóveisPRO,,
,,1M2,,kartado,,appê+,Compartilhamento de espaços,
,,,,INMETA software,,Meu Imóvel,Consultórios,Clinovi - consultórios com serviços
,Dados Fundiários,GISBASE - geoinformation system,,,,,,clina.care
,,Geomart,IoT,CIANOVE,Marketing digital,,,Livance
,,,,ConnectData,,Quero meu apê,,Clinspace
,Intermediação Digital,Solo landbank,,PHYGITALL,,ELEPHANTSKIN,,wedoctors
,,AGREGA - desenvolvimento imobiliário,,PLIPPE,,Socialis,,
,,,,Hitemp - soluções tecnológicas,,imox.ai,Decoração,
