nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
-,,,,empresas2
123 Projetei,,,,empresa1
180Seguros,,,,empresa3
1COMODO,,,,empresa4
1M2,,,,empresa1
2Share Multipropriedades,,,,empresa3
2lar.com,,,,empresa3
2u,,,,empresa4
3 blocks,,,,empresa3
333OBRA - O mercado da Construção,,,,empresas2
360 suites,,,,empresa4
36Zero,,,,empresa3
3D Pictures - visualizando o futuro,,,,empresa3
3D explora,,,,empresa3
4D imobi,,,,empresa4
4VANTS - vision analytics,,,,empresas2
4student,,,,empresa4
535homes,,,,empresa4
6P BANK,,,,empresa4
7Dtech - imobcare,,,,empresa4
7cantos.com,,,,empresa3
99Leads,,,,empresa3
99contratos,,,,empresa3
99web,,,,empresa3
ABRIGAR - LIcitações de imóveis particulares,,,,empresa3
AGILEAN - Aplicativo de Gestão Integrada Lean,,,,empresas2
AGREGA - desenvolvimento imobiliário,,,,empresa1
ALLIANCE CONSÓRCIOS,,,,empresa1
ALMOB - Gestão para Almoxarifado,,,,empresas2
ALMOX,,,,empresas2
ALTAVE,,,,empresas2
ALÔ SERRALHEIRO,,,,empresas2
AMERA,,,,empresas2
ANFITRIÃO PRIME,,,,empresa4
ANUVA,,,,empresa3
APPROVA,,,,empresa3
APPTOHOME,,,,empresa4
APROVA DIGITAL,,,,empresa1
APROVA LEGAL,,,,empresa1
ARATAU Construção Modular,,,,empresas2
ARCHA (studio/archa),,,,empresa4
ARQUILEGO,,,,empresa1
ARQUIS,,,,empresas2
ARQUITETO DE BOLSO,,,,empresa4
ASSINO - crédito imobiliário,,,,empresa3
ATT,,,,empresa3
AXT PropTech,,,,empresa3
AYRTON,,,,empresa4
AZURITTA,,,,empresa4
Acelérion,,,,empresa3
Achei4u,,,,empresas2
Administramos imóveis,,,,empresa4
Alice Wonders - Tech Driven Experiences,,,,empresa3
Allexo - tecnologia,,,,empresa4
Alude,,,,empresa3
AlugaON,,,,empresa3
Alugalogo,,,,empresas2
Alugamais,,,,empresa3
Aluggar,,,,empresa3
Alugue Certo,,,,empresa3
Aluguel virtual,,,,empresa3
AmFi,,,,empresa3
Anfitriões de Aluguel,,,,empresa4
AoCubo,,,,empresa3
ApolloEX,,,,empresa3
Arqplace - Arquitetura no lugar certo,,,,empresas2
Arquitetos por Hora,,,,empresa4
Ativa energia,,,,empresa4
Avalyst,,,,empresa3
Avendre,,,,empresa3
B2Blue.com - valorizando seu resíduo,,,,empresas2
BCO Leilões,,,,empresa3
BE HONEST,,,,empresa4
BEM BACANA,,,,empresa4
BEYOND,,,,empresa4
BH Vistoria Predial,,,,empresa3
BIGMOB,,,,empresa3
BIMSTART,,,,empresas2
BLUETECH Liquid,,,,empresa4
BOOBAM,,,,empresa4
BORA na OBRA,,,,empresas2
BOUTIQUE LAB,,,,empresa4
BOX OBRAS,,,,empresas2
BRICK UP,,,,empresas2
BRICKER,,,,empresa3
BUSCA TERRA,,,,empresa1
Bank2B,,,,empresa3
Beaver,,,,empresa3
Bel,,,,empresa3
BemVindo - imóveis por temporada,,,,empresa4
Benvo,,,,empresa4
BestSpaces,,,,empresa3
Bid Gram,,,,empresa3
BioBox - Sustainable Houses,,,,empresas2
BobTon - Conectando a Construção do País,,,,empresas2
Bold.Finance,,,,empresa3
BoldHouse,,,,empresa3
Bow-e,,,,empresa4
BrokerHunter,,,,empresa3
Bugaboo Studio,,,,empresa3
Buskaza,,,,empresa3
ByDoor,,,,empresa4
C2S Contact2sale,,,,empresa3
CAPTAL,,,,empresa3
CASA Z,,,,empresa4
CASABRUTA - shopping virtual da construção,,,,empresas2
CASAJEITADA,,,,empresa4
CASAPRONTA - Design e Interiores,,,,empresa4
CASOCA,,,,empresa1
CHECASA,,,,empresa3
CIANOVE,,,,empresas2
CLICK PONTO,,,,empresas2
CLUB&CASA DESIGN,,,,empresa4
COBUILD,,,,empresas2
CONCRETE JÁ,,,,empresas2
CONDLINK,,,,empresa4
CONDOBEM,,,,empresa4
CONDOBOX,,,,empresa4
CONDOCONTA,,,,empresa4
CONDOSTORE,,,,empresa4
CONDSIS,,,,empresa4
CONECTA REFORMA,,,,empresa4
CONSIS,,,,empresa4
CONSTRU CODE,,,,empresas2
CONSTRUCONNECT,,,,empresas2
CONSTRUCT IN,,,,empresas2
CONSTRUP - Construindo soluções,,,,empresas2
CONSTRUP - construindo soluções,,,,empresas2
CONSTRUÇÃO CIVIL - teoria e prática,,,,empresas2
CONTAINER EXPRESS,,,,empresas2
CONTAINER MODULAR,,,,empresas2
CPallet,,,,empresas2
CREDUP - crédito incentivado,,,,empresa3
CSTEEL,,,,empresas2
CUB,,,,empresa1
CUBI energia,,,,empresa4
CV CRM - construtor de vendas,,,,empresa3
Camerite,,,,empresa4
CapRate Investimentos,,,,empresa1
Capital Concreto - incorporação,,,,empresa3
Capt Imóveis,,,,empresa3
Captei,,,,empresa3
Cardeal,,,,empresa3
Carpediem Homes,,,,empresa4
Cartão Solar,,,,empresa4
Casa do Síndico,,,,empresa4
Chavi,,,,empresa4
Ciclefy,,,,empresa4
Civil Control,,,,empresas2
CleanClic,,,,empresa4
ClickGalpões,,,,empresa3
Clinovi - consultórios com serviços,,,,empresa4
Clinspace,,,,empresa4
Clube FII,,,,empresa4
CoBenS,,,,empresa3
Comprar&decorar,,,,empresa4
Comprei,,,,empresa3
CondCred,,,,empresa4
CondoBlue,,,,empresa4
CondoCash,,,,empresa4
CondoMoney,,,,empresa4
Condolivre,,,,empresa4
